grid_name,ent_t0,ent_t1,saf_t0,saf_t1
SA-23-X-C,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-19-V-D,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-21-V-D,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-21-V-C,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-21-X-C,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-21-X-D,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-22-V-C,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-22-V-D,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-22-X-C,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-22-X-D,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-23-V-C,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-23-V-D,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-23-V-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-18-Z-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-19-X-D,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-19-X-C,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-20-V-C,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-20-V-D,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-20-X-C,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-20-X-D,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-22-X-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-23-V-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-23-V-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-23-Z-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-23-V-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-19-V-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-19-V-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-18-X-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-19-Y-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-21-Z-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-21-X-C,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-21-X-D,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-21-Z-C,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-21-Z-D,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-21-Z-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-21-Z-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-21-Y-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-21-Y-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-22-Y-C,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-22-Y-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-22-Y-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-22-Y-D,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-22-Z-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-22-Z-C,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-23-Y-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-23-Y-C,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-22-Z-D,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-22-Z-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-22-Z-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-22-Y-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-22-Y-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-22-V-C,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-23-Y-D,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-23-Y-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-22-X-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-22-X-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-22-V-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-22-V-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-21-X-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-21-X-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-21-V-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-21-V-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-20-X-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-20-X-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-20-V-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-20-V-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-19-X-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-19-X-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-19-Z-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-19-Z-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-19-X-C,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-19-X-D,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-19-X-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-19-X-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-19-Y-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-19-V-D,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-19-V-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-19-Y-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-19-V-C,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-18-Z-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-18-X-D,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-19-Y-D,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-19-Z-C,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-20-Y-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-20-Z-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-20-Z-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-20-X-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-20-X-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-20-V-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-20-V-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-20-V-C,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-20-V-D,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-20-Y-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-20-Y-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-20-Z-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-20-Z-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-20-X-C,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-20-X-D,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-21-V-C,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-21-V-D,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-21-Y-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-21-Y-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-21-Z-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-21-X-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-21-X-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-21-Y-D,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SA-21-Y-C,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-22-V-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-22-V-B,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-22-X-A,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-22-X-C,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
SB-22-X-D,Y1-09-01,Y2-02-15,Y2-02-01,Y2-06-30
