GRID_NAME,BIOME,YEAR,T0_P,T1_P,T0_S,T1_S,CC,SATELLITE
SG-21-Z-D,PAMPA,1985,01/09/1985,30/11/1985,01/01/1985,31/12/1985,90,L5
SG-21-Z-D,PAMPA,1986,01/08/1986,30/11/1986,01/01/1986,31/12/1986,90,L5
SG-21-Z-D,PAMPA,1987,01/05/1987,31/12/1987,01/01/1987,31/12/1987,90,L5
SG-21-Z-D,PAMPA,1988,01/09/1988,30/11/1988,01/01/1988,31/12/1988,90,L5
SG-21-Z-D,PAMPA,1989,01/06/1989,30/11/1989,01/01/1989,31/12/1989,90,L5
SG-21-Z-D,PAMPA,1990,01/07/1990,30/11/1990,01/01/1990,31/12/1990,90,L5
SG-21-Z-D,PAMPA,1991,01/09/1991,30/11/1991,01/01/1991,31/12/1991,90,L5
SG-21-Z-D,PAMPA,1992,01/09/1992,30/11/1992,01/01/1992,31/12/1992,90,L5
SG-21-Z-D,PAMPA,1993,01/06/1993,30/11/1993,01/01/1993,31/12/1993,90,L5
SG-21-Z-D,PAMPA,1994,01/09/1994,31/12/1994,01/01/1994,31/12/1994,90,L5
SG-21-Z-D,PAMPA,1995,01/05/1995,30/11/1995,01/01/1995,31/12/1995,90,L5
SG-21-Z-D,PAMPA,1996,01/09/1996,31/12/1996,01/01/1996,31/12/1996,90,L5
SG-21-Z-D,PAMPA,1997,01/08/1997,30/11/1997,01/01/1997,31/12/1997,90,L5
SG-21-Z-D,PAMPA,1998,01/09/1998,31/12/1998,01/01/1998,31/12/1998,90,L5
SG-21-Z-D,PAMPA,1999,01/09/1999,30/11/1999,01/01/1999,31/12/1999,90,L5
SG-21-Z-D,PAMPA,2000,01/07/2000,30/11/2000,01/01/2000,31/12/2000,90,L5
SG-21-Z-D,PAMPA,2001,01/09/2001,30/11/2001,01/01/2001,31/12/2001,90,L7
SG-21-Z-D,PAMPA,2002,01/08/2002,31/12/2002,01/01/2002,31/12/2002,90,L7
SG-21-Z-D,PAMPA,2003,01/09/2003,30/11/2003,01/01/2003,31/12/2003,90,L5
SG-21-Z-D,PAMPA,2004,01/09/2004,30/11/2004,01/01/2004,31/12/2004,90,L5
SG-21-Z-D,PAMPA,2005,01/09/2005,30/11/2005,01/01/2005,31/12/2005,90,L5
SG-21-Z-D,PAMPA,2006,01/08/2006,30/11/2006,01/01/2006,31/12/2006,90,L5
SG-21-Z-D,PAMPA,2007,01/04/2007,30/11/2007,01/01/2007,31/12/2007,90,L5
SG-21-Z-D,PAMPA,2008,01/09/2008,30/11/2008,01/01/2008,31/12/2008,90,L5
SG-21-Z-D,PAMPA,2009,01/09/2009,30/11/2009,01/01/2009,31/12/2009,90,L5
SG-21-Z-D,PAMPA,2010,01/09/2010,31/12/2010,01/01/2010,31/12/2010,90,L5
SG-21-Z-D,PAMPA,2011,01/09/2011,30/11/2011,01/01/2011,31/12/2011,90,L5
SG-21-Z-D,PAMPA,2012,01/04/2012,31/05/2012,01/01/2012,31/12/2012,90,L7
SG-21-Z-D,PAMPA,2013,01/09/2013,30/11/2013,01/01/2013,31/12/2013,90,L8
SG-21-Z-D,PAMPA,2014,01/09/2014,30/11/2014,01/01/2014,31/12/2014,90,L8
